Index,Name,Unprescaled,335b_AllMB,335b_AllMB_UPC40k
313,L1_ZDC1n_AsymXOR_MinimumBiasHF1_AND_BptxAND ,1,1,0
314,L1_ZDC1n_Bkp1_AsymXOR_MinimumBiasHF1_AND_BptxAND ,1,0,0
315,L1_ZDC1n_Bkp2_AsymXOR_MinimumBiasHF1_AND_BptxAND ,1,0,0
316,L1_ZDC1n_XOR_MinimumBiasHF2_AND_BptxAND ,1,1,0
317,L1_ZDC1n_Bkp1_XOR_MinimumBiasHF2_AND_BptxAND ,1,0,0
318,L1_ZDC1n_Bkp2_XOR_MinimumBiasHF2_AND_BptxAND ,1,0,0
319,L1_ZDC1n_AsymXOR_MinimumBiasHF2_AND_BptxAND ,1,1,0
320,L1_ZDC1n_Bkp1_AsymXOR_MinimumBiasHF2_AND_BptxAND ,1,0,0
321,L1_ZDC1n_Bkp2_AsymXOR_MinimumBiasHF2_AND_BptxAND ,1,0,0
322,L1_SingleJet8_ZDC1n_XOR_BptxAND ,1,0,0
323,L1_SingleJet8_ZDC1n_AsymXOR_BptxAND ,1,0,0
324,L1_SingleJet12_ZDC1n_XOR_BptxAND ,1,0,0
325,L1_SingleJet12_ZDC1n_AsymXOR_BptxAND ,1,0,0
326,L1_SingleJet16_ZDC1n_XOR_BptxAND ,1,0,0
327,L1_SingleJet16_ZDC1n_AsymXOR_BptxAND ,1,0,0
328,L1_SingleJet20_ZDC1n_XOR_BptxAND ,1,0,0
329,L1_SingleJet20_ZDC1n_AsymXOR_BptxAND ,1,1,0
330,L1_SingleJet24_ZDC1n_XOR_BptxAND ,1,0,0
331,L1_SingleJet24_ZDC1n_AsymXOR_BptxAND ,1,1,0
332,L1_SingleJet28_ZDC1n_XOR_BptxAND ,1,0,0
333,L1_SingleJet28_ZDC1n_AsymXOR_BptxAND ,1,1,0
334,L1_SingleJet8_NotMinimumBiasHF2_AND_BptxAND ,1,21965,0
335,L1_SingleJet12_NotMinimumBiasHF2_AND_BptxAND ,1,21965,0
336,L1_SingleJet16_NotMinimumBiasHF2_AND_BptxAND ,1,2555,0
337,L1_SingleJet20_NotMinimumBiasHF2_AND_BptxAND ,1,1,0
338,L1_SingleJet24_NotMinimumBiasHF2_AND_BptxAND ,1,1,0
339,L1_SingleJet28_NotMinimumBiasHF2_AND_BptxAND ,1,1,0
340,L1_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
341,L1_ZDCP14 ,1,0,0
342,L1_ZDCP14_BptxAND ,1,0,0
343,L1_ZDCM14 ,1,0,0
344,L1_ZDCM14_BptxAND ,1,0,0
345,L1_ZDC14_AND ,1,0,0
346,L1_ZDC14_AND_BptxAND ,1,0,0
347,L1_ZDC14_OR ,1,0,0
348,L1_ZDC14_OR_BptxAND ,1,0,0
349,L1_ZDCP16 ,1,0,0
350,L1_ZDCP16_BptxAND ,1,0,0
351,L1_ZDCM16 ,1,0,0
352,L1_ZDCM16_BptxAND ,1,0,0
