Index,Name,Emergency,HighZeroBias,HighZeroBias_NoMuShowers,HalfZeroBias,OnlyPhysics,HighRandom,HighRandom_NoMuShowers
234,L1_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0
235,L1_SingleJet8_ZDC1n_AsymXOR,0,0,0,0,0,0,0
236,L1_SingleJet8_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0
237,L1_SingleJet8_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0
238,L1_SingleJet12_ZDC1n_AsymXOR,0,0,0,0,0,0,0
239,L1_SingleJet12_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0
240,L1_SingleJet12_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0
241,L1_SingleJet16_ZDC1n_AsymXOR,0,0,0,0,0,0,0
242,L1_SingleJet16_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0
243,L1_SingleJet16_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0
244,L1_SingleJet20_ZDC1n_AsymXOR,0,0,0,0,0,0,0
245,L1_SingleJet20_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0
246,L1_SingleJet20_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0
247,L1_SingleJet24_ZDC1n_AsymXOR,0,0,0,0,0,0,0
248,L1_SingleJet24_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0
249,L1_SingleJet24_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0
250,L1_SingleJet28_ZDC1n_AsymXOR,0,0,0,0,0,0,0
251,L1_SingleJet28_ZDC1n_Bkp1_AsymXOR,0,0,0,0,0,0,0
252,L1_SingleJet28_ZDC1n_Bkp2_AsymXOR,0,0,0,0,0,0,0
253,L1_SingleJet8_ZDC1n_OR,0,0,0,0,0,0,0
254,L1_SingleJet8_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0
255,L1_SingleJet8_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0
256,L1_SingleJet12_ZDC1n_OR,0,0,0,0,0,0,0
257,L1_SingleJet12_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0
258,L1_SingleJet12_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0
259,L1_SingleJet16_ZDC1n_OR,0,0,0,0,0,0,0
260,L1_SingleJet16_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0
261,L1_SingleJet16_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0
262,L1_SingleJet20_ZDC1n_OR,0,0,0,0,0,0,0
263,L1_SingleJet20_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0
264,L1_SingleJet20_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0
